,Id,Versus,Ground,D/N,Runs,B/F,S/R,Bowler,Year,hasBatted
45,46,Sri Lanka,Harare Sports Club,,32,40,80.00,S Randiv,2010,Yes
46,47,Bangladesh,Rangiri Dambulla International Stadium,✓,0,1,0.00,Shakib Al Hasan,2010,Yes
47,48,Pakistan,Rangiri Dambulla International Stadium,✓,22,24,91.67,Shahid Afridi,2010,Yes
48,49,Sri Lanka,Rangiri Dambulla International Stadium,✓,69,73,94.52,,2010,Yes
49,50,Sri Lanka,Rangiri Dambulla International Stadium,✓,41,52,78.85,K M D N Kulasekara,2010,Yes
50,51,New Zealand,Rangiri Dambulla International Stadium,✓,4,11,36.36,D R Tuffey,2010,Yes
51,52,Sri Lanka,Rangiri Dambulla International Stadium,✓,0,2,0.00,A D Mathews,2010,Yes
52,53,Sri Lanka,Rangiri Dambulla International Stadium,✓,11,21,52.38,A D Mathews,2010,Yes
53,54,Sri Lanka,Rangiri Dambulla International Stadium,✓,5,9,55.56,S Randiv,2010,Yes
54,55,New Zealand,M Chinnaswamy Stadium,✓,44,48,91.67,T G Southee,2010,Yes
55,56,New Zealand,MA Chidambaram Stadium,✓,-,-,-,,2010,No
56,57,South Africa,Kingsmead,✓,11,27,40.74,M Morkel,2011,Yes
57,58,South Africa,Wanderers Stadium,✓,9,14,64.29,M Morkel,2011,Yes
58,59,South Africa,Newlands,✓,23,45,51.11,M Morkel,2011,Yes
59,60,South Africa,St George's Park,✓,1,6,16.67,L L Tsotsobe,2011,Yes
60,61,South Africa,SuperSport Park,,5,8,62.50,L L Tsotsobe,2011,Yes
61,62,West Indies,Queen's Park Oval,,68*,75,90.67,,2011,Yes
62,63,West Indies,Queen's Park Oval,,7*,14,50.00,,2011,Yes
63,64,West Indies,Sir Vivian Richards Stadium,,86*,91,94.51,,2011,Yes
64,65,West Indies,Sir Vivian Richards Stadium,,39,47,82.98,A Martin,2011,Yes
65,66,West Indies,Sabina Park,,57,72,79.17,A Martin,2011,Yes
66,67,England,Riverside Ground,,0*,1,0.00,,2011,Yes
67,68,West Indies,Barabati Stadium,✓,72,99,72.73,A Martin,2011,Yes
68,69,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,✓,90*,98,91.84,,2011,Yes
69,70,West Indies,Narendra Modi Stadium,✓,95,100,95.00,,2011,Yes
70,71,West Indies,Holkar Cricket Stadium,✓,27,16,168.75,K A J Roach,2011,Yes
71,72,West Indies,MA Chidambaram Stadium,✓,21,26,80.77,S P Narine,2011,Yes
72,73,Australia,Melbourne Cricket Ground,✓,21,21,100.00,C J McKay,2012,Yes
73,74,Sri Lanka,WACA Ground,✓,10,17,58.82,N L T C Perera,2012,Yes
74,75,Australia,Adelaide Oval,✓,33,41,80.49,R J Harris,2012,Yes
75,76,Sri Lanka,Adelaide Oval,✓,15,27,55.56,,2012,Yes
76,77,Australia,Brisbane Cricket Ground,✓,0,5,0.00,B Lee,2012,Yes
77,78,Sri Lanka,Shere Bangla National Stadium,✓,-,-,-,,2012,No
78,79,Bangladesh,Shere Bangla National Stadium,✓,4,6,66.67,,2012,Yes
79,80,Pakistan,Shere Bangla National Stadium,✓,68,83,81.93,Umar Gul,2012,Yes
80,81,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,✓,5,8,62.50,A D Mathews,2012,Yes
81,82,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,✓,0,5,0.00,A D Mathews,2012,Yes
82,83,Sri Lanka,R Premadasa Stadium,✓,0,1,0.00,S L Malinga,2012,Yes
83,84,Sri Lanka,R Premadasa Stadium,✓,4,14,28.57,N Pradeep,2012,Yes
84,85,Sri Lanka,Pallekele International Cricket Stadium,✓,4,9,44.44,N Pradeep,2012,Yes
